Title,Image,Price
Mesaerion: The Best Science ...,http://books.toscrape.com/../media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,£37.59
Join,http://books.toscrape.com/../media/cache/93/63/9363f0065fbad5689f44fcf6e203eef3.jpg,£35.67
William Shakespeare's Star Wars: ...,http://books.toscrape.com/../media/cache/02/37/0237b445efc18c5562355a5a2c40889c.jpg,£43.30
The Project,http://books.toscrape.com/../media/cache/10/6e/106e2fc7160712edf8e2ff996dc8cd6c.jpg,£10.65
Soft Apocalypse,http://books.toscrape.com/../media/cache/f0/06/f0060c756556b855184fa32f66280961.jpg,£26.12
Sleeping Giants (Themis Files ...,http://books.toscrape.com/../media/cache/c0/72/c072c1ef144d571abd25fe9cc18cceba.jpg,£48.74
Arena,http://books.toscrape.com/../media/cache/51/88/518810d182843244a404f2a2a614a93b.jpg,£21.36
Foundation (Foundation (Publication Order) ...,http://books.toscrape.com/../media/cache/8b/92/8b9267df86378b6973974ae7e1924ffe.jpg,£32.42
The Restaurant at the ...,http://books.toscrape.com/../media/cache/b8/b2/b8b2956acc758a381beef87339c0a52f.jpg,£10.92
Ready Player One,http://books.toscrape.com/../media/cache/51/34/513418bd1c6114f3ea1fd703278e20ef.jpg,£19.07
"Life, the Universe and ...",http://books.toscrape.com/../media/cache/ef/8b/ef8bc5adcd3bea8e8ba97be76d07a32a.jpg,£33.26
Dune (Dune #1),http://books.toscrape.com/../media/cache/7a/bc/7abccb865ecf9b0f676800b10c71cfd6.jpg,£54.86
Do Androids Dream of ...,http://books.toscrape.com/../media/cache/fa/65/fa653fbe3a4c69227c9b79d471cee576.jpg,£51.48
Three Wishes (River of ...,http://books.toscrape.com/../media/cache/c7/21/c721943edf481cad5ab32505e2ad3865.jpg,£44.18
The Last Girl (The ...,http://books.toscrape.com/../media/cache/da/47/da4746e620f8ccd7cf20628d1a5e535a.jpg,£36.26
Having the Barbarian's Baby ...,http://books.toscrape.com/../media/cache/f4/83/f4835e9f3fdd8b8107bbb39a391654f0.jpg,£34.96
