Title,Image,Price
A Light in the ...,http://books.toscrape.com/media/cache/2c/da/2cdad67c44b002e7ead0cc35693c0e8b.jpg,�51.77
Tipping the Velvet,http://books.toscrape.com/media/cache/26/0c/260c6ae16bce31c8f8c95daddd9f4a1c.jpg,�53.74
Soumission,http://books.toscrape.com/media/cache/3e/ef/3eef99c9d9adef34639f510662022830.jpg,�50.10
Sharp Objects,http://books.toscrape.com/media/cache/32/51/3251cf3a3412f53f339e42cac2134093.jpg,�47.82
Sapiens: A Brief History ...,http://books.toscrape.com/media/cache/be/a5/bea5697f2534a2f86a3ef27b5a8c12a6.jpg,�54.23
The Requiem Red,http://books.toscrape.com/media/cache/68/33/68339b4c9bc034267e1da611ab3b34f8.jpg,�22.65
The Dirty Little Secrets ...,http://books.toscrape.com/media/cache/92/27/92274a95b7c251fea59a2b8a78275ab4.jpg,�33.34
The Coming Woman: A ...,http://books.toscrape.com/media/cache/3d/54/3d54940e57e662c4dd1f3ff00c78cc64.jpg,�17.93
The Boys in the ...,http://books.toscrape.com/media/cache/66/88/66883b91f6804b2323c8369331cb7dd1.jpg,�22.60
The Black Maria,http://books.toscrape.com/media/cache/58/46/5846057e28022268153beff6d352b06c.jpg,�52.15
Starving Hearts (Triangular Trade ...,http://books.toscrape.com/media/cache/be/f4/bef44da28c98f905a3ebec0b87be8530.jpg,�13.99
Shakespeare's Sonnets,http://books.toscrape.com/media/cache/10/48/1048f63d3b5061cd2f424d20b3f9b666.jpg,�20.66
Set Me Free,http://books.toscrape.com/media/cache/5b/88/5b88c52633f53cacf162c15f4f823153.jpg,�17.46
Scott Pilgrim's Precious Little ...,http://books.toscrape.com/media/cache/94/b1/94b1b8b244bce9677c2f29ccc890d4d2.jpg,�52.29
Rip it Up and ...,http://books.toscrape.com/media/cache/81/c4/81c4a973364e17d01f217e1188253d5e.jpg,�35.02
Our Band Could Be ...,http://books.toscrape.com/media/cache/54/60/54607fe8945897cdcced0044103b10b6.jpg,�57.25
Olio,http://books.toscrape.com/media/cache/55/33/553310a7162dfbc2c6d19a84da0df9e1.jpg,�23.88
Mesaerion: The Best Science ...,http://books.toscrape.com/media/cache/09/a3/09a3aef48557576e1a85ba7efea8ecb7.jpg,�37.59
Libertarianism for Beginners,http://books.toscrape.com/media/cache/0b/bc/0bbcd0a6f4bcd81ccb1049a52736406e.jpg,�51.33
It's Only the Himalayas,http://books.toscrape.com/media/cache/27/a5/27a53d0bb95bdd88288eaf66c9230d7e.jpg,�45.17
